alpha,delta,epsilon_b,epsilon_s,mu
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.004515351930951498,0.0028685535481968133,1.456949526535749e-06,9.408146177602659e-07,1.3821810599819944e-06
0.012328793906808714,0.009674170209636882,6.260651299190435e-06,1.0178393042976161e-06,4.6552566385200145e-06
0.002698483015072648,0.0007126839974362517,6.929658511512228e-07,4.191771983411155e-07,3.754053798229278e-07
0.31733961130286364,0.098426967482977,0.0007119232575841085,6.835328119351018e-05,0.0001201541113464967
46.23290413376122,7.075938370542759,0.03060547330526693,0.10838861232653028,0.011298181041135578
0.003972564753323742,0.00021317422497647308,3.434098527375352e-06,8.179888766335353e-07,1.587288004395588e-07
0.0002667462396617335,0.00019083765673254195,7.133723697300058e-08,1.002277473612571e-07,6.933673353617007e-08
0.006062867407708218,0.0003129691408954702,3.931908215073789e-07,2.735487950344783e-06,1.0900142894373785e-08
5.607187160380797e-17,0.0,0.0,0.0,0.0
