alpha,delta,epsilon_b,epsilon_s,mu
5.607187160380797e-17,0.0,0.0,0.0,0.0
1.1214374320761595e-16,0.0,0.0,0.0,0.0
5.607187160380797e-17,5.607187271582024e-17,0.0,0.0,0.0
3.2836797266017372,0.12854190165065446,0.00070742963750585,0.000755175651501625,0.0006091773527835794
0.0,0.0,0.0,0.0,0.0
0.3926064965810059,0.023107295441456715,5.0192938306081626e-05,1.6509655391895256e-05,3.1789594833094385e-05
0.7717731419691988,0.18677404367253517,0.00016633111719290615,0.0001841466102801796,2.8452862301864615e-06
0.0,0.0,0.0,0.0,0.0
2.34812985127129,0.188186429963334,0.000616104351606091,0.0006851273857066004,1.9036351415367683e-05
4.485749728304638e-16,0.0,0.0,0.0,0.0
0.3288482273359125,0.20735228634538583,5.841317454412124e-05,7.50217125738487e-05,5.773844291387484e-05
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.442945213953016,0.8380890828625331,4.71688137557423e-06,0.0004314569676882431,7.262201095047098e-05
0.0,0.0,0.0,0.0,0.0
0.09674288727078721,0.1229098489936269,7.279639545664514e-06,5.002785354890738e-07,2.9514388647862803e-07
0.6924535452290148,0.01834783370336676,0.0001650576391113529,0.00019593704493501887,2.0118253061910356e-06
1.1214374320761595e-16,5.607187271582024e-17,0.0,0.0,0.0
0.0001068045568256861,5.119436514173352e-06,1.1944943214335974e-08,3.79026004105725e-09,7.306157465736485e-10
0.20478625719655869,0.16546277084614333,2.030455253325089e-05,3.0013837860865146e-05,2.7468979562831804e-05
0.0007951160629923573,6.962699053634049e-05,9.508181734079827e-08,8.853253271082399e-08,8.95306698683399e-11
0.0023054192153253604,0.00608259542875024,2.8074565230340407e-06,2.577513169001408e-06,9.441057811579125e-08
0.006657561764424917,0.0025547905646237713,6.419768036111368e-06,3.992291766650883e-06,9.666835086735128e-08
0.0007111205835623979,9.409562862427227e-06,2.0549129818853124e-07,1.7659359482262626e-07,7.273684877187617e-09
0.0006477897522660418,5.300362627477759e-05,7.877570420880065e-08,8.138806920649029e-08,1.2347421756175982e-09
0.0009914245983461427,0.00031874518616485214,4.2739112078338414e-07,3.946650234404353e-07,1.2414729791368274e-09
1.794299891321855e-15,0.0,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.08674394393936,0.031021467115852866,2.574799968234726e-05,2.7341087143264787e-05,7.57216469368423e-07
0.0005003757480985719,2.6154662189331605e-05,2.6093755765836634e-08,9.120967706850257e-08,2.5224257121897324e-09
0.0,0.0,0.0,0.0,0.0
1.9348742396011454e-06,1.359051187186632e-06,9.554264693750284e-12,4.582665012400578e-11,9.081950155627942e-11
0.002669744572189176,0.00022819769364459787,2.618768583067948e-07,2.6803899969245e-07,2.3307944344201155e-07
