alpha,delta,epsilon_b,epsilon_s,mu
1.1214374320761595e-16,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0022681435481122563,0.00016212703453019554,3.0706773607141886e-07,8.322758381167495e-07,7.550331385011222e-08
0.0018039367666250342,0.00011701170181388025,4.010531458377717e-07,1.5161709159852834e-07,1.7388746032132867e-09
1.3264308623200478,0.46390962794119656,0.0002777659627340437,0.0002844354006082364,0.00021066500978954148
0.000367854821350054,2.8660360871302923e-05,5.488440569248479e-08,8.233568898924488e-08,4.24977824009353e-10
0.0,0.0,0.0,0.0,0.0
0.0,5.607188235157595e-17,0.0,0.0,0.0
0.0002165173664336137,0.000194249762545755,3.234568504497168e-08,3.618929420567906e-08,3.183474197598957e-08
2.048555012875284e-05,1.9875984165024936e-05,3.111236695410147e-09,3.0732781456505683e-09,2.8374415134621173e-09
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0,5.607188235157595e-17,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1.121437647031519e-16,0.0,0.0,0.0
0.00034826855657144924,3.406207954518874e-05,1.5453042664577064e-08,8.469571762407442e-08,2.8844921537862165e-10
0.4504361535005985,0.42413173158736744,0.00014529716741374992,5.059799262161089e-06,4.040206486641538e-06
0.0,0.0,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0001151527131231217,7.340733447004092e-06,2.4492801578080206e-08,7.1301169680910745e-09,1.0489538885735211e-10
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.005840281953646753,0.00021543373791212207,1.0656271433503545e-06,1.3413704582364344e-06,6.5422806067056e-09
2.83838307263968e-05,2.4892818966184298e-06,3.3634820802355316e-09,5.146104835395233e-09,2.801062296681842e-10
0.0,0.0,0.0,0.0,0.0
0.0008765939885165771,9.237799385277518e-05,1.2206519674883615e-07,1.611003667173678e-07,2.2107033300560934e-08
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.15461373138349177,0.49910355516713745,0.00019005148614547492,0.00033388958384457693,0.00025817965791187286
0.0037528575968497993,0.00032545155644309227,6.981392908156024e-07,3.9491927705468933e-07,9.85642089978029e-08
0.0,0.0,0.0,0.0,0.0
0.37104934163990466,0.0015948179363925337,5.4593389595270105e-05,4.058514867755772e-05,5.611506342565871e-08
0.0,0.0,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.3762383180899514e-05,0.00013451689249385535,1.325662110068709e-08,4.0108514968234894e-08,3.683666733565619e-08
0.0030294947918008976,0.002554437280387801,1.3046944152632768e-07,9.966785091133925e-07,9.591513394892232e-07
