alpha,delta,epsilon_b,epsilon_s,mu
0.0,0.0,0.0,0.0,0.0
0.0136402182779412,0.00930461464482782,4.9450079868037666e-06,2.8258386328047318e-06,4.080593807296295e-06
2.3550186073599346e-15,3.8128873446757766e-15,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0041105237199503195,0.00025808123142014483,8.041343745965756e-07,2.1645628762667345e-06,1.7284191318167497e-07
0.0022717111282951922,7.404500630347509e-05,9.755384670614915e-07,2.7849404704850816e-07,6.899993313732125e-08
0.00199301896018205,0.0030060969071167756,8.034444007519062e-07,1.689042985886068e-06,7.214670491045933e-07
0.0025351644700506437,0.00015032778672287005,5.620305062531779e-07,9.033800324972682e-07,6.15753434081469e-08
1.1214374320761595e-14,1.2896530724638654e-15,0.0,0.0,0.0
6.971172655549102e-05,7.23168737869309e-05,3.7216276113345637e-09,1.3514762347758688e-08,2.992421095951618e-09
4.649024367679771e-05,3.793922955458515e-05,1.2565574943482944e-08,5.431537207717078e-09,1.305852692757295e-08
0.0,0.0,0.0,0.0,0.0
0.0010216875045035987,0.00032321626128026005,1.8341806258516286e-07,3.506127274964849e-07,2.0361758871061755e-07
0.0,0.0,0.0,0.0,0.0
0.6676388014595486,0.08104292843478712,0.0008348721560876118,0.00047566456177020115,0.0001793010214513875
0.0007630587976043438,0.0006729664554359765,7.076477969856377e-07,1.784646168065382e-07,2.6300177828306e-07
0.0,0.0,0.0,0.0,0.0
3.3006763983211846e-05,2.5615760696238072e-06,1.7708396000269013e-10,1.3231835656191853e-08,6.120136669924981e-10
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0002923263896238614,0.00021368868615609236,8.629181998323256e-08,6.861418355652292e-08,7.73578386741604e-08
0.0,0.0,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.00024070176538463147,1.5114210437492157e-05,5.586479142153283e-08,6.910472326587786e-08,3.0437469897937553e-09
0.0,0.0,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
1.7628337600367139,0.0325578842931715,0.002694568119348712,0.0026709645235959943,0.00010130978000660064
5.607187160380797e-17,0.0,0.0,0.0,0.0
8.793460211015388e-05,0.00011322068695267675,4.108443548962649e-08,3.924956134978491e-08,3.802442085598433e-08
7.0650558220798046e-15,1.2335811997480453e-15,0.0,0.0,0.0
0.007151318033139788,0.0003761420800147768,2.559461312781633e-06,3.4114440993779402e-06,1.0779397146635078e-07
0.2498393062240341,0.010604762679459537,3.954139477452518e-05,2.3944513196995706e-05,9.956425853646003e-07
0.43995378856118844,0.21234093954372582,0.0004752845856594845,0.000499004483604771,0.0003403924610910652
0.003355014639166928,0.0016847767644960962,9.658522912157232e-07,1.2183863476313682e-06,1.464998133319591e-06
0.004772077969976596,0.003128048100261526,1.6203841831021927e-06,1.5973000904123456e-06,1.7097567478569416e-06
5.248715324396054e-06,2.6561326391994998e-06,1.742376043556984e-09,5.272798389981761e-10,6.089632606105153e-10
3.054908113641687e-05,4.0705079629549676e-05,1.3361647457924078e-08,1.512095969820305e-08,1.670145354009078e-08
0.2922299076099427,0.23010825151086095,3.855016123651895e-05,7.526758021491383e-05,7.89477032921853e-05
2.619045457130999,2.640240913724302,0.002278404009651248,0.00040145400349666404,0.0012034771396457272
5.607187160380797e-17,0.0,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0017231197757196194,7.053763447536883e-05,5.973481377659665e-08,5.606196593097177e-07,1.450538246300956e-08
0.0037929229378681423,0.0024718889933616167,1.3625607384447954e-06,1.1147446576585332e-06,1.3827724611969848e-06
0.433748285879639,0.25339107606923866,0.0004246500947684083,0.0005151337652072489,8.309154368339363e-05
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.005797699126686377,0.0003379312222884054,3.0240277185750538e-06,1.0670322756735246e-06,3.034496037584012e-08
0.0008399983695155431,0.0008411056616927227,1.4917578558691013e-07,9.968547385654177e-08,1.5084961418022742e-07
22.037665259187012,12.091241624015339,0.007372456097563465,0.006508378013980642,0.0064820792986432394
5.607187160380797e-17,0.0,0.0,0.0,0.0
1.3470331539481148,0.12308488346525413,0.0015927795618074642,0.0009350990058747176,0.00012971502004800747
0.0,0.0,0.0,0.0,0.0
7.850062024533116e-16,7.850062180214834e-16,0.0,0.0,0.0
2.4332864549027007e-05,2.7627647418232928e-05,7.152094519081781e-09,4.8161850610364615e-09,6.574091212223264e-09
0.3446086230249964,0.08050142098432599,0.000496023460489661,4.5283865448704976e-05,6.798990585749819e-05
6.1004385337351485e-05,5.116882155043815e-05,1.3136770608230909e-08,2.0015722930568256e-08,1.5035323659462642e-08
0.04760868983730836,0.27108061933017347,0.00021245360653094267,7.749831175417157e-05,0.0002659972011654179
0.005388250388339868,0.0038123930998112216,1.4871319328721252e-06,1.4096564297491495e-06,1.2493681275423365e-06
1.0179995059356985,0.018931314088804094,0.0008018902989007799,0.0008041194474302317,0.00021150239580145435
0.0003204082908155349,0.00012375198230284913,8.454682314385623e-08,5.706184226858856e-08,7.893254477055587e-08
0.00016326520818552058,8.582415730508607e-06,2.365057077929749e-08,6.041904929241437e-08,9.918770974855308e-10
0.0,1.1214374543164048e-16,0.0,0.0,0.0
0.4703107814144713,0.026557384556155722,7.446749859926758e-05,0.00011316936133814819,3.7068528380548092e-06
0.43083030038453723,0.12215527418132621,4.0066311278686765e-05,0.0005401425812474704,9.652136666335396e-05
5.607187160380797e-17,0.0,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0,1.1214374543164048e-16,0.0,0.0,0.0
0.006035506732101009,0.004257891477053056,8.557970874759195e-06,7.46271572464952e-06,7.621609433131632e-08
0.0,0.0,0.0,0.0,0.0
0.4329393775422419,0.0062340733956239465,1.8949331477891855e-05,9.445101745174482e-05,6.880184653380812e-07
0.006223965553416951,0.0003165074601136855,1.6865468456847764e-06,2.672615475538252e-06,3.724262925077335e-07
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0017721416617757823,3.9167041884040926e-05,9.182961623628673e-07,2.2673440021528003e-07,1.3309127995108523e-08
7.991331692588912e-05,9.22517708140974e-07,3.918079580934268e-08,1.6451860800538014e-08,2.8269574732488095e-10
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0035736894663032344,0.0014701803461914576,3.19860431894236e-07,1.0962643711625778e-06,3.772401318493947e-07
0.002944501616686903,0.0029493030528736095,2.244953622547696e-06,2.8162179218677224e-07,4.164096918000394e-07
1.1214374320761595e-16,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.5599836687926991,0.4979675009253918,3.582402673820829e-05,7.507829878152359e-05,0.0005185659874960426
0.03601418011367584,0.004330180713817715,1.8769153099133315e-05,1.1147126157802814e-05,1.995454972849765e-07
0.3836371707557925,0.48994859815495656,0.0007213176126230904,2.8124614213330784e-05,0.0003027485623693968
0.0032822812659410137,0.0015567786965008524,9.619505460910779e-07,1.0961134210358077e-06,1.3452793919112255e-06
8.803283841797852e-15,2.803593635791012e-15,0.0,0.0,0.0
5.607187160380797e-16,8.971499634531238e-16,0.0,0.0,0.0
0.00031279908135146663,0.00021018919865697737,1.6373488836566436e-07,5.762831850134447e-08,1.6358124360375947e-07
5.607187160380797e-17,0.0,0.0,0.0,0.0
0.007125290027263559,0.002929898069373331,3.213442513624248e-07,2.4025211670694754e-06,4.23474972850368e-07
